"01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS","","","","","","","","","","","","","","","",""
" ","CIUDAD ","","CENTRO","","Palacio","","Embajadores","","Cortes","","Justicia","","Universidad","","Sol",""
"Relación de zona verde/habitante (deseables 15m2/ habitante; mínimo 10m/hab)","","19.04","","3.49","","","","","","","","","","","",""
"1.12.5. Educación ","","","","","","","","","","","","","","","",""
"Escuelas Infantiles Municipales","","56","8.9%","5","","1","","1","","0","","2","","1","","0"
"Escuelas Infantiles Públicas CAM","","136","4.4%","6","","","","","","","","","","","",""
"Escuelas Infantiles Privadas","","412","0.7%","3","","","","","","","","","","","",""
"Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria)","","245","3.7%","9","","","","","","","","","","","",""
"Institutos Públicos de Educación Secundaria","","111","5.4%","6","","","","","","","","","","","",""
"Colegios Privados Inf. o Pri. o Inf. y Pri.","","88","5.7%","5","","","","","","","","","","","",""
"Colegios Privados Inf., Pri. y Sec. o Pri. y Sec. ","","274","2.6%","7","","","","","","","","","","","",""
"1.12.6. Empresa y Comercio","","","","","","","","","","","","","","","",""
"Mercados Municipales","","46","13.0%","6","","1","","2","","0","","2","","1","","0"
"1.13. PARTICIPACIÓN CIUDADANA ","","","","","","","","","","","","","","","",""
"Nº total de asociaciones 2015","","1,817","11.0%","200","","","","","","","","","","","",""
"Nº de asociaciones de carácter social","","243","15.2%","37","","","","","","","","","","","",""
"Nº de asociaciones de vecinos","","180","6.1%","11","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"1.14. PRESUPUESTO 2016","","","","","","","","","","","","","","","",""
"CENTRO / PROGRAMA","","CAPÍTULOS","","","","","","","","","","","","","",""
"","","1","","2","","3","","4","","5","","6","","7","","TOTAL"
"153.22 OTRAS ACTUACIONES EN VÍA PÚBLICA","","","","30,747 €","","","","","","","","","","","","30,747 €"
"231.01 IGUALDAD ENTRE MUJERES Y HOMBRES",""," - ",""," - ",""," - ",""," - ",""," - ",""," - ",""," - ","","0 €"
"231.02 FAMILIA E INFANCIA","","","","335,854 €","","","","238,411 €","","","","","","","","0 €"
"231.03 PERSONAS MAYORES","","","","7,633,874 €","","","","141,351 €","","","","20,000 €","","14,329 €","","0 €"
"231.06 ATENCIÓN E INCLUSIÓN SOCIAL Y ATT. A LA EMERGENCIA","","2,482,616 €","","1,611,827 €","","","","152,880 €","","","","10,000 €","","5,000 €","","0 €"
"232.00 PLANES DE BARRIO","","","","251,870 €","","","","20,000 €","","","","","","","","0 €"
"311.01 SALUBRIDAD PÚBLICA","","1,116,839 €","","3,558 €","","","","","","","","","","","","0 €"
"323.01 CENTROS DOCENTES ENSEÑANZA INFANTIL Y PRIMARIA","","","","1,306,945 €","","","","","","","","555,529 €","","","","0 €"
"325.01 ABSENTISMO","","","","27,840 €","","","","","","","","","","","","0 €"
"326.01 SERVICIOS COMPLEMENTARIOS EDUCACIÓN","","","","154,001 €","","","","","","","","","","","","0 €"
"334.01 ACTIVIDADES CULTURALES","","444,739 €","","395,853 €","","","","20,000 €","","","","","","50,000 €","","0 €"
"341.01 ACTUACIONES DEPORTIVAS EN DISTRITOS","","","","27,200 €","","","","","","","","","","","","0 €"
"342.01 INSTALACIONES DEPORTIVAS","","","","3,921 €","","","","155,054 €","","","","127,073 €","","","","0 €"
"493.00 CONSUMO","","233,541 €","","","","","","","","","","","","","","0 €"
"912.20 CONCEJALÍA-PRESIDENCIA DEL DISTRITO","","318,972 €","","","","","","","","","","","","","","0 €"
"920.01 DIREC. Y GESTIÓN ADMTVA. DEL DISTRITO","","4,603,195 €","","873,704 €","","","","","","","","212,455 €","","","","0 €"
"924.01 PARTICIPACIÓN CIUDADANA Y VOLUNTARIADO","","","","","","","","42,880 €","","","","","","4,939 €","","0 €"
"933.02 EDIFICIOS ","","","","1,234,271 €","","","","","","","","462,557 €","","","","0 €"
"CENTRO 001","","9,199,902 €","","13,891,465 €","","0 €","","770,576 €","","0 €","","1,387,614 €","","74,268 €","","30,747 €"
"SECCIÓN 201","","9,199,902 €","","13,891,465 €","","0 €","","770,576 €","","0 €","","1,387,614 €","","74,268 €","","30,747 €"
